	infor
testa	-0.0
nced3	-0.0
anhydras	-0.0
unmap	-0.0
intellig	-0.0
displac	-0.0
peripher	-0.0
molecularli	-0.0
photoprotect	-0.0
calli	-0.0
truli	-0.0
phosphotransf	-0.0
enclos	-0.0
desorpt	-0.0
pentos	-0.0
chs8	-0.0
cumbersom	-0.0
pursu	-0.0
untap	-0.0
imposs	-0.0
guineensi	-0.0
dictat	-0.0
sand	-0.0
heavier	-0.0
foster	-0.0
iter	-0.0
repen	-0.0
inc	-0.0
frontier	-0.0
hardli	-0.0
stream	-0.0
stepwis	-0.0
endosymbiot	-0.0
purg	-0.0
indigest	-0.0
essex	-0.0
regist	-0.0
syn	-0.0
endosom	-0.0
monosaccharid	-0.0
pcf	-0.0
peg6000	-0.0
paramount	-0.0
denot	-0.0
itraq	-0.0
wherebi	-0.0
vessel	-0.0
word	-0.0
ltd	-0.0
somewhat	-0.0
williams82	-0.0
discrep	-0.0
theori	-0.0
rewir	-0.0
logic	-0.0
pertain	-0.0
temporarili	-0.0
galegoid	-0.0
recurs	-0.0
committe	-0.0
guidelin	-0.0
log2	-0.0
proxi	-0.0
eighti	-0.0
fruitful	-0.0
rieli	0.0
h06	0.0
ril3613	0.0
graze	0.0
rigid	0.0
graxo	0.0
rpd3	0.0
riken	0.0
robiniea	0.0
gyppx	0.0
rio	0.0
griseola	0.0
griff	0.0
gy2	0.0
gridlin	0.0
gy3	0.0
rox1	0.0
grf5	0.0
ringspot	0.0
gy5	0.0
gycolisi	0.0
grf1	0.0
greek	0.0
ringgit	0.0
ring2	0.0
gretchen	0.0
rpl30	0.0
gregor	0.0
gynandropsi	0.0
gynecolog	0.0
gynoecia	0.0
greenish	0.0
rox3	0.0
gynophor	0.0
greener	0.0
roxb	0.0
rox2	0.0
gynandra	0.0
grassiu	0.0
gravit	0.0
h3k9me2	0.0
granular	0.0
riccardo	0.0
ribulos	0.0
grant	0.0
granger	0.0
ribsp	0.0
h4k4me1	0.0
h4k5ac	0.0
riboregul	0.0
grandi	0.0
h532	0.0
grand	0.0
grana	0.0
ribonucleotid	0.0
graminicola	0.0
gramini	0.0
hagen	0.0
grain1	0.0
rps3	0.0
hag	0.0
haemolymph	0.0
haemoglobin	0.0
granulin	0.0
haematococcu	0.0
hab1	0.0
h9	0.0
rps2	0.0
h8	0.0
graminac	0.0
rps1b	0.0
ribonucleas	0.0
rpn10	0.0
h3k9ac	0.0
h3k4me2	0.0
rpoc2	0.0
rpp13	0.0
graveolen	0.0
h105q	0.0
grave	0.0
h12	0.0
h228	0.0
ridg	0.0
h276b	0.0
h289i	0.0
rpp2ha	0.0
h2b	0.0
ride	0.0
h2o	0.0
ricinu	0.0
grassi	0.0
h2o2along	0.0
h3k4	0.0
rpp4c5	0.0
h3k27me1	0.0
richard	0.0
grarf1	0.0
grarf11	0.0
ricesrtfdb	0.0
h3_1phe41	0.0
grarf19_2	0.0
grarf2a	0.0
grasp	0.0
richer	0.0
rpp3	0.0
richest	0.0
h3_1f41i	0.0
rip1	0.0
gv	0.0
gxhr	0.0
rollin	0.0
rnadepend	0.0
rna1	0.0
gse86807	0.0
rmsvp	0.0
gse78242	0.0
gse49537	0.0
gstl3	0.0
gstt1	0.0
rmsd	0.0
rmf	0.0
gse112220	0.0
rmd_zh24	0.0
rm38	0.0
rooster	0.0
gt1	0.0
gsds2_0	0.0
gscngc	0.0
rorippa	0.0
rop9	0.0
gtγg	0.0
gtγ	0.0
rop10	0.0
gssld6	0.0
gsdes1_1	0.0
gsdes1_2	0.0
rlk1	0.0
rlm	0.0
gtgcntgc	0.0
rlp9	0.0
gt1consensu	0.0
gtr	0.0
gssld5	0.0
gssld2	0.0
rollercoast	0.0
rof	0.0
gsoja	0.0
robertson	0.0
rodent	0.0
rod	0.0
rockii	0.0
roberto	0.0
rock1	0.0
gsnap	0.0
roche454	0.0
gsm0387	0.0
gsm0543	0.0
roc1	0.0
robustli	0.0
rock	0.0
gscml45	0.0
robert	0.0
roadmap	0.0
gssld1	0.0
rnaom	0.0
rnaswhich	0.0
gssg	0.0
rnet	0.0
rps4	0.0
gspod	0.0
road	0.0
gsppck2	0.0
gserf6funct	0.0
gsfad2_1	0.0
gsppck1	0.0
roadblock	0.0
gsgia	0.0
rollando	0.0
gscml41	0.0
gtδ	0.0
ros1	0.0
guu	0.0
roughag	0.0
gup	0.0
riversid	0.0
grobogan	0.0
grope	0.0
roundleaf	0.0
gross	0.0
grotewold	0.0
gun5	0.0
gujosoya	0.0
groundbreak	0.0
rough	0.0
guizao	0.0
grossli	0.0
groundwat	0.0
grmzm2g170232_p01	0.0
guxin	0.0
ripe	0.0
gws_rd	0.0
rippl	0.0
gwass	0.0
grmzm2g031905_p01	0.0
gwam	0.0
risen	0.0
ript	0.0
gvg	0.0
grmzm2g034638_p01	0.0
grmzm2g035944_p01	0.0
robur	0.0
grmzm2g055024_p01	0.0
grmzm2g062711_p01	0.0
gw2	0.0
gxxxg	0.0
grp	0.0
guildinii	0.0
rkygqk	0.0
guardian	0.0
rosetta	0.0
guarante	0.0
rose	0.0
rlbac	0.0
rosoidea	0.0
guanylyl	0.0
guangdong	0.0
guaiacyl	0.0
gschx	0.0
guaiacol	0.0
rosa	0.0
rlck	0.0
guanosin	0.0
grp1	0.0
gsapd	0.0
rosul	0.0
grpme01	0.0
grpme78	0.0
rotundifolia	0.0
grtps6	0.0
grupo	0.0
rivoliana	0.0
rossmann	0.0
guidanc	0.0
gs1	0.0
rotari	0.0
guerra	0.0
rotam	0.0
rkl	0.0
rkvgaggrkplg	0.0
guest	0.0
rnomic	0.0
glyma13g25950	0.0
graecum	0.0
sarii	0.0
gmsmax1	0.0
gmsmt1	0.0
gmsmt2	0.0
sarga	0.0
gmsmxl2_1	0.0
gmsmxl6_1	0.0
gmsmxl7_1	0.0
gmsmxl8_1	0.0
sarg	0.0
sapwood	0.0
saponaria	0.0
gmsnap02	0.0
gmsnap09	0.0
sapogenin	0.0
gmsnap14	0.0
sapindacea	0.0
gmsnap33	0.0
sapien	0.0
gmsni1	0.0
sap6	0.0
gmskrp	0.0
gmskp1	0.0
gmskor	0.0
sarkar	0.0
sat_216	0.0
gmsgf14	0.0
sat_196	0.0
sat_189	0.0
sat_162	0.0
sat_144	0.0
gmsgr3a	0.0
gmsgr3b	0.0
gmsgr4	0.0
gmsgt2	0.0
santosh	0.0
sat_123	0.0
sat_105	0.0
sat_091	0.0
sat_076	0.0
sat_069	0.0
gmshr	0.0
sat_043	0.0
gmshsp	0.0
gmsik1	0.0
sas2	0.0
sas1	0.0
sat_11	0.0
gmsoc1a	0.0
gmsoc1b	0.0
gmsod1	0.0
gmsth2	0.0
salt14056	0.0
salt11655	0.0
gmstop2	0.0
sals	0.0
salix	0.0
saliva	0.0
salinidad	0.0
salienc	0.0
gmsvp2	0.0
saltol1_1	0.0
salicylicacid	0.0
salicoid	0.0
gmsymrk	0.0
salic	0.0
sakurai	0.0
sakukei	0.0
saharan	0.0
sage	0.0
sag13	0.0
safranin	0.0
safest	0.0
salicycl	0.0
gmserf2	0.0
salutaridin	0.0
gmssr1610	0.0
gmsod2	0.0
santo	0.0
gmspa1	0.0
santa	0.0
gmspl2a	0.0
gmspl2b	0.0
gmspl8	0.0
sant	0.0
gmspl9c	0.0
sandwich	0.0
salvag	0.0
sandhu	0.0
san	0.0
samtool	0.0
gmsrt2	0.0
sam50	0.0
sam22	0.0
gmss1	0.0
gmss13	0.0
gmss7	0.0
salvia	0.0
gmssr1602	0.0
gmspx7	0.0
gmserf1	0.0
gmseob	0.0
sat_233	0.0
satt201	0.0
gmqsox	0.0
satt1k3	0.0
satt197	0.0
satt179	0.0
satt177	0.0
gmqsox2a	0.0
gmqsox2b	0.0
satt159	0.0
gmrab5	0.0
gmpyl10	0.0
gmrab5a	0.0
gmraf6	0.0
gmrap2_2	0.0
satt156	0.0
satt149	0.0
satt131	0.0
gmrboha	0.0
satt114	0.0
gmrca	0.0
satt009	0.0
gmrcaβ	0.0
gmraf49	0.0
satonohohoemi	0.0
satt209	0.0
gmpub9	0.0
gmprr9b1	0.0
satt372	0.0
satt359	0.0
satt341	0.0
gmpskδ1	0.0
satt335	0.0
satt313	0.0
satt305	0.0
satt288	0.0
satt286	0.0
gmpup1	0.0
satt281	0.0
gmpt4	0.0
satt278	0.0
satt277	0.0
gmpt8	0.0
satt275	0.0
satt274	0.0
satt255	0.0
satt239	0.0
satt233	0.0
satt218	0.0
gmpt3	0.0
safeguard	0.0
sato	0.0
gmre	0.0
sat_377	0.0
gmsae1b	0.0
sat_370	0.0
gmsahh1	0.0
sat_366	0.0
sat_361	0.0
sat_350	0.0
gmsanp11	0.0
sat_318	0.0
gmsark	0.0
sat_407	0.0
sat_305	0.0
gmsatc	0.0
sat_303	0.0
gmsaur299	0.0
sat_299	0.0
gmsced	0.0
sat_293	0.0
sat_273	0.0
sat_271	0.0
gmsdl12a	0.0
sat_234	0.0
gmsat1	0.0
gmrdn1	0.0
gmrtrtp5	0.0
sat_417	0.0
gmrem1	0.0
satk140	0.0
satk139	0.0
satk138	0.0
gmrg	0.0
gmrgs2	0.0
sativu	0.0
sativ	0.0
gmrin4	0.0
gmrip1	0.0
gmrtrtp3	0.0
gmrlk1	0.0
gmrlk2	0.0
gmrlk3	0.0
gmrlk4	0.0
gmrns9	0.0
satisfactori	0.0
sat_418	0.0
gmrps11	0.0
gmrps21	0.0
gmrr04	0.0
gmrr34	0.0
satisfactorili	0.0
grail	0.0
gmtcl6	0.0
sad2	0.0
rs6886889	0.0
gmyucca1	0.0
gmyucca5	0.0
rs5926884	0.0
rs5680781	0.0
rs55811336	0.0
gmzip	0.0
rs53140888	0.0
rs37686178	0.0
rs37505279	0.0
rs37094897	0.0
gnatatnc	0.0
gnc	0.0
rs36359429	0.0
gnetum	0.0
gogat	0.0
goggi	0.0
goid	0.0
goitrogen	0.0
gol	0.0
golden2	0.0
rs6898494	0.0
rs7975863	0.0
rs9337368	0.0
rs9479021	0.0
gmwrky17	0.0
rubber	0.0
rtwa	0.0
gmwrky32	0.0
gmwrky39	0.0
rtposon_sub3	0.0
rtf1	0.0
rsz21b	0.0
gmwrky47	0.0
rsua	0.0
goldsmith	0.0
gmwrky54	0.0
gmwrky6	0.0
gmwrky67	0.0
rspb	0.0
gmwrky92	0.0
gmwrkyx1	0.0
rsc15zh	0.0
hagen3	0.0
rsc14	0.0
rsc10	0.0
rsa1	0.0
gmwrky56	0.0
rs330000	0.0
golgin	0.0
golm	0.0
gpat6	0.0
gpat9	0.0
gpd1	0.0
gph	0.0
rpw8_2	0.0
gpp	0.0
rpw8	0.0
rpt5	0.0
gpx5	0.0
rpst3	0.0
gpat1	0.0
gq389647	0.0
gqssrpqdrhqk	0.0
gqsstitgtyagqi	0.0
gqwspc8	0.0
rpsjswa	0.0
gr3	0.0
rpshn	0.0
rps6	0.0
rps5	0.0
graduat	0.0
graecorum	0.0
gqoil20	0.0
rubiacea	0.0
rr1	0.0
gpa1	0.0
